furnishingstatus,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,price
2,7800,3,1,1,1,0,1,0,1,2,1,5320000
1,4600,2,2,1,1,0,0,0,1,2,0,5285000
0,4260,4,1,2,1,0,1,0,1,0,0,5250000
1,6540,4,2,2,0,0,0,0,1,0,0,5250000
1,5500,3,2,1,1,0,1,0,0,0,0,5250000
1,10269,3,1,1,1,0,0,0,0,1,1,5250000
2,8400,3,1,2,1,1,1,0,1,2,1,5250000
2,5300,4,2,1,1,0,0,0,1,0,1,5250000
2,3800,3,1,2,1,1,1,0,0,1,1,5250000
1,9800,4,2,2,1,1,0,0,0,2,0,5250000
0,8520,3,1,1,1,0,0,0,1,2,0,5250000
1,6050,3,1,1,1,0,1,0,0,0,1,5243000
1,7085,3,1,1,1,1,1,0,0,2,1,5229000
1,3180,3,2,2,1,0,0,0,0,2,0,5215000
1,4500,4,2,1,0,0,1,0,1,2,0,5215000
0,7200,3,1,2,1,1,1,0,0,1,1,5215000
1,3410,3,1,2,0,0,0,0,1,0,0,5145000
1,7980,3,1,1,1,0,0,0,0,1,1,5145000
0,3000,3,2,2,1,1,1,0,0,0,0,5110000
2,3000,3,1,2,1,0,1,0,0,0,0,5110000
0,11410,2,1,2,1,0,0,0,0,0,1,5110000
1,6100,3,1,1,1,0,1,0,1,0,1,5110000
2,5720,2,1,2,1,0,0,0,1,0,1,5075000
1,3540,2,1,1,0,1,1,0,0,0,0,5040000
0,7600,4,1,2,1,0,0,0,1,2,0,5040000
1,10700,3,1,2,1,1,1,0,0,0,0,5040000
0,6600,3,1,1,1,1,1,0,0,0,1,5040000
1,4800,2,1,1,1,1,1,0,0,0,0,5033000
1,8150,3,2,1,1,1,1,0,0,0,0,5005000
1,4410,4,3,2,1,0,1,0,0,2,0,4970000
1,7686,3,1,1,1,1,1,1,0,0,0,4970000
1,2800,3,2,2,0,0,1,0,1,1,0,4956000
1,5948,3,1,2,1,0,0,0,1,0,0,4935000
0,4200,3,1,2,1,0,0,0,0,1,0,4907000
1,4520,3,1,2,1,0,1,0,1,0,0,4900000
1,4095,3,1,2,0,1,1,0,1,0,0,4900000
1,4120,2,1,1,1,0,1,0,0,1,0,4900000
1,5400,4,1,2,1,0,0,0,0,0,0,4900000
1,4770,3,1,1,1,1,1,0,0,0,0,4900000
1,6300,3,1,1,1,0,0,0,1,2,0,4900000
1,5800,2,1,1,1,1,1,0,1,0,0,4900000
1,3000,3,1,2,1,0,1,0,1,0,0,4900000
1,2970,3,1,3,1,0,0,0,0,0,0,4900000
2,6720,3,1,1,1,0,0,0,0,0,0,4900000
1,4646,3,1,2,1,1,1,0,0,2,0,4900000
0,12900,3,1,1,1,0,0,0,0,2,0,4900000
1,3420,4,2,2,1,0,1,0,1,2,0,4893000
1,4995,4,2,1,1,0,1,0,0,0,0,4893000
2,4350,2,1,1,1,0,1,0,0,0,0,4865000
2,4160,3,1,3,1,0,0,0,0,0,0,4830000
1,6040,3,1,1,1,0,0,0,0,2,1,4830000
0,6862,3,1,2,1,0,0,0,1,2,1,4830000
1,4815,2,1,1,1,0,0,0,1,0,1,4830000
2,7000,3,1,2,1,0,1,0,0,0,0,4795000
1,8100,4,1,4,1,0,1,0,1,2,0,4795000
1,3420,4,2,2,1,0,0,0,0,0,0,4767000
1,9166,2,1,1,1,0,1,0,1,2,0,4760000
0,6321,3,1,2,1,0,1,0,1,1,0,4760000
2,10240,2,1,1,1,0,0,0,1,2,1,4760000
1,6440,2,1,1,1,0,0,0,1,3,0,4753000
1,5170,3,1,4,1,0,0,0,1,0,0,4690000
0,6000,2,1,1,1,0,1,0,1,1,0,4690000
1,3630,3,1,2,1,0,0,0,0,2,0,4690000
1,9667,4,2,2,1,1,1,0,0,1,0,4690000
1,5400,2,1,2,1,0,0,0,0,0,1,4690000
1,4320,3,1,1,1,0,0,0,0,0,1,4690000
0,3745,3,1,2,1,0,1,0,0,0,0,4655000
2,4160,3,1,1,1,1,1,0,1,0,0,4620000
1,3880,3,2,2,1,0,1,0,0,2,0,4620000
1,5680,3,1,2,1,1,0,0,1,1,0,4620000
1,2870,2,1,2,1,1,1,0,0,0,1,4620000
1,5010,3,1,2,1,0,1,0,0,0,0,4620000
1,4510,4,2,2,1,0,1,0,0,0,0,4613000
0,4000,3,1,2,1,0,0,0,0,1,0,4585000
1,3840,3,1,2,1,0,0,0,0,1,1,4585000
1,3760,3,1,1,1,0,0,0,0,2,0,4550000
0,3640,3,1,2,1,0,0,0,1,0,0,4550000
0,2550,3,1,2,1,0,1,0,0,0,0,4550000
1,5320,3,1,2,1,1,1,0,0,0,1,4550000
2,5360,3,1,2,1,0,0,0,0,2,1,4550000
1,3520,3,1,1,1,0,0,0,0,0,1,4550000
2,8400,4,1,4,1,0,0,0,0,3,0,4550000
1,4100,2,2,1,1,1,1,0,0,0,0,4543000
0,4990,4,2,2,1,1,1,0,0,0,1,4543000
1,3510,3,1,3,1,0,0,0,0,0,0,4515000
1,3450,3,1,2,1,0,1,0,0,1,0,4515000
1,9860,3,1,1,1,0,0,0,0,0,0,4515000
0,3520,2,1,2,1,0,0,0,0,0,1,4515000
1,4510,4,1,2,1,0,0,0,1,2,0,4480000
2,5885,2,1,1,1,0,0,0,1,1,0,4480000
0,4000,3,1,2,1,0,0,0,0,2,0,4480000
0,8250,3,1,1,1,0,0,0,0,0,0,4480000
1,4040,3,1,2,1,0,0,0,0,1,0,4480000
0,6360,2,1,1,1,0,1,0,1,1,0,4473000
0,3162,3,1,2,1,0,0,0,1,1,0,4473000
1,3510,3,1,2,1,0,0,0,0,0,0,4473000
1,3750,2,1,1,1,1,1,0,0,0,0,4445000
1,3968,3,1,2,0,0,0,0,0,0,0,4410000
1,4900,2,1,2,1,0,1,0,0,0,0,4410000
1,2880,3,1,2,1,0,0,0,0,0,1,4403000
2,4880,3,1,1,1,0,0,0,0,2,1,4403000
1,4920,3,1,2,1,0,0,0,0,1,0,4403000
1,4950,4,1,2,1,0,0,0,1,0,0,4382000
2,3900,3,1,2,1,0,0,0,0,0,0,4375000
0,4500,3,2,3,1,0,0,1,0,1,0,4340000
1,1905,5,1,2,0,0,1,0,0,0,0,4340000
1,4075,3,1,1,1,1,1,0,0,2,0,4340000
0,3500,4,1,2,1,0,0,0,0,2,0,4340000
1,6450,4,1,2,1,0,0,0,0,0,0,4340000
0,4032,2,1,1,1,0,1,0,0,0,0,4319000
1,4400,2,1,1,1,0,0,0,0,1,0,4305000
1,10360,2,1,1,1,0,0,0,0,1,1,4305000
1,3400,3,1,2,1,0,1,0,0,2,1,4277000
0,6360,2,1,1,1,0,0,0,0,0,0,4270000
2,6360,2,1,2,1,0,0,0,0,0,0,4270000
0,4500,2,1,1,1,0,0,0,1,2,0,4270000
2,2175,3,1,2,0,1,1,0,1,0,0,4270000
0,4360,4,1,2,1,0,0,0,0,0,0,4270000
0,7770,2,1,1,1,0,0,0,0,1,0,4270000
1,6650,3,1,2,1,1,0,0,0,0,0,4235000
0,2787,3,1,1,1,0,1,0,0,0,1,4235000
2,5500,3,1,2,1,0,0,0,1,0,0,4200000
2,5040,3,1,2,1,0,1,0,1,0,0,4200000
1,5850,2,1,1,1,1,1,0,0,2,0,4200000
1,2610,4,3,2,0,0,0,0,0,0,0,4200000
2,2953,3,1,2,1,0,1,0,1,0,0,4200000
1,2747,4,2,2,0,0,0,0,0,0,0,4200000
2,4410,2,1,1,0,0,0,0,0,1,0,4200000
1,4000,4,2,2,0,0,0,0,0,0,0,4200000
1,2325,3,1,2,0,0,0,0,0,0,0,4200000
1,4600,3,2,2,1,0,0,0,1,1,0,4200000
2,3640,3,2,2,1,0,1,0,0,0,0,4200000
1,5800,3,1,1,1,0,0,1,0,2,0,4200000
0,7000,3,1,1,1,0,0,0,0,3,0,4200000
1,4079,3,1,3,1,0,0,0,0,0,0,4200000
1,3520,3,1,2,1,0,0,0,0,0,1,4200000
2,2145,3,1,3,1,0,0,0,0,1,1,4200000
0,4500,3,1,1,1,0,1,0,0,0,0,4200000
1,8250,3,1,1,1,0,1,0,0,3,0,4193000
1,3450,3,1,2,1,0,0,0,0,1,0,4193000
1,4840,3,1,2,1,0,0,0,0,1,0,4165000
1,4080,3,1,2,1,0,0,0,0,2,0,4165000
1,4046,3,1,2,1,0,1,0,0,1,0,4165000
1,4632,4,1,2,1,0,0,0,1,0,0,4130000
1,5985,3,1,1,1,0,1,0,0,0,0,4130000
1,6060,2,1,1,1,0,1,0,0,1,0,4123000
0,3600,3,1,1,1,0,1,0,1,0,1,4098500
1,3680,3,2,2,1,0,0,0,0,0,0,4095000
1,4040,2,1,2,1,0,0,0,0,1,0,4095000
1,5600,2,1,1,1,0,0,0,1,0,0,4095000
2,5900,4,2,2,0,0,1,0,0,1,0,4060000
2,4992,3,2,2,1,0,0,0,0,2,0,4060000
1,4340,3,1,1,1,0,0,0,0,0,0,4060000
1,3000,4,1,3,1,0,1,0,1,2,0,4060000
0,4320,3,1,2,1,0,0,0,0,2,1,4060000
1,3630,3,2,2,1,0,0,1,0,2,0,4025000
0,3460,3,2,1,1,0,1,0,1,1,0,4025000
1,5400,3,1,1,1,0,0,0,0,3,0,4025000
1,4500,3,1,2,0,0,1,0,1,0,0,4007500
1,3460,4,1,2,1,0,0,0,1,0,0,4007500
2,4100,4,1,1,0,0,1,0,0,0,0,3990000
1,6480,3,1,2,0,0,0,0,1,1,0,3990000
1,4500,3,2,2,0,0,1,0,1,0,0,3990000
0,3960,3,1,2,1,0,0,0,0,0,0,3990000
2,4050,2,1,2,1,1,1,0,0,0,1,3990000
0,7260,3,2,1,1,1,1,0,0,3,0,3920000
1,5500,4,1,2,1,1,1,0,0,0,0,3920000
1,3000,3,1,2,1,0,0,0,0,0,0,3920000
0,3290,2,1,1,1,0,0,1,0,1,0,3920000
0,3816,2,1,1,1,0,1,0,1,2,0,3920000
1,8080,3,1,1,1,0,0,0,1,2,0,3920000
2,2145,4,2,1,1,0,1,0,0,0,1,3920000
1,3780,2,1,2,1,1,1,0,0,0,0,3885000
0,3180,4,2,2,1,0,0,0,0,0,0,3885000
1,5300,5,2,2,1,0,0,0,0,0,0,3850000
1,3180,2,2,1,1,0,1,0,0,2,0,3850000
0,7152,3,1,2,1,0,0,0,1,0,0,3850000
1,4080,2,1,1,1,0,0,0,0,0,0,3850000
1,3850,2,1,1,1,0,0,0,0,0,0,3850000
1,2015,3,1,2,1,0,1,0,0,0,1,3850000
1,2176,2,1,2,1,1,0,0,0,0,1,3850000
2,3350,3,1,2,1,0,0,0,0,0,0,3836000
1,3150,2,2,1,0,0,1,0,0,0,0,3815000
1,4820,3,1,2,1,0,0,0,0,0,0,3780000
1,3420,2,1,2,1,0,0,1,0,1,0,3780000
1,3600,2,1,1,1,0,0,0,0,0,0,3780000
2,5830,2,1,1,1,0,0,0,0,2,0,3780000
0,2856,3,1,3,1,0,0,0,0,0,1,3780000
0,8400,2,1,1,1,0,0,0,0,1,0,3780000
0,8250,3,1,1,1,0,0,0,0,2,0,3773000
0,2520,5,2,1,0,0,1,0,1,1,0,3773000
0,6930,4,1,2,0,0,0,0,0,1,0,3773000
1,3480,2,1,1,1,0,0,0,0,0,1,3745000
2,3600,3,1,1,1,0,0,0,0,1,0,3710000
1,4040,2,1,1,1,0,0,0,0,0,0,3710000
1,6020,3,1,1,1,0,0,0,0,0,0,3710000
0,4050,2,1,1,1,0,0,0,0,0,0,3710000
1,3584,2,1,1,1,0,0,1,0,0,0,3710000
1,3120,3,1,2,0,0,1,1,0,0,0,3703000
0,5450,2,1,1,1,0,0,0,0,0,0,3703000
0,3630,2,1,1,1,0,1,0,0,0,0,3675000
2,3630,2,1,1,1,0,0,0,1,0,0,3675000
1,5640,2,1,1,0,0,0,0,0,0,0,3675000
0,3600,2,1,1,1,0,0,0,0,0,0,3675000
1,4280,2,1,1,1,0,0,0,1,2,0,3640000
1,3570,3,1,2,1,0,1,0,0,0,0,3640000
1,3180,3,1,2,0,0,1,0,0,0,0,3640000
0,3000,2,1,2,1,0,0,0,1,0,0,3640000
1,3520,2,2,1,1,0,1,0,0,0,0,3640000
2,5960,3,1,2,1,1,1,0,0,0,0,3640000
1,4130,3,2,2,1,0,0,0,0,2,0,3640000
2,2850,3,2,2,0,0,1,0,0,0,1,3640000
1,2275,3,1,3,1,0,0,1,1,0,1,3640000
2,3520,3,1,1,1,0,0,0,0,2,1,3633000
1,4500,2,1,1,1,0,0,0,0,0,0,3605000
1,4000,2,1,1,1,0,0,0,0,0,1,3605000
0,3150,3,1,2,1,0,1,0,0,0,0,3570000
0,4500,4,2,2,1,0,1,0,0,2,0,3570000
0,4500,2,1,1,0,0,0,0,0,0,0,3570000
2,3640,2,1,1,1,0,0,0,0,0,0,3570000
2,3850,3,1,1,1,0,0,0,0,2,0,3535000
1,4240,3,1,2,1,0,0,0,1,0,0,3500000
2,3650,3,1,2,1,0,0,0,0,0,0,3500000
1,4600,4,1,2,1,0,0,0,0,0,0,3500000
2,2135,3,2,2,0,0,0,0,0,0,0,3500000
1,3036,3,1,2,1,0,1,0,0,0,0,3500000
1,3990,3,1,2,1,0,0,0,0,0,0,3500000
2,7424,3,1,1,0,0,0,0,0,0,0,3500000
2,3480,3,1,1,0,0,0,0,1,0,0,3500000
2,3600,6,1,2,1,0,0,0,0,1,0,3500000
1,3640,2,1,1,1,0,0,0,0,1,0,3500000
0,5900,2,1,1,1,0,0,0,0,1,0,3500000
2,3120,3,1,2,1,0,0,0,0,1,0,3500000
1,7350,2,1,1,1,0,0,0,0,1,0,3500000
2,3512,2,1,1,1,0,0,0,0,1,1,3500000
2,9500,3,1,2,1,0,0,0,0,3,1,3500000
2,5880,2,1,1,1,0,0,0,0,0,0,3500000
2,12944,3,1,1,1,0,0,0,0,0,0,3500000
2,4900,3,1,2,0,0,0,0,0,0,0,3493000
2,3060,3,1,1,1,0,0,0,0,0,0,3465000
2,5320,2,1,1,1,0,0,0,0,1,1,3465000
0,2145,3,1,3,1,0,0,0,0,0,1,3465000
2,4000,2,1,1,1,0,0,0,0,0,0,3430000
2,3185,2,1,1,1,0,0,0,0,2,0,3430000
2,3850,3,1,1,1,0,0,0,0,0,0,3430000
0,2145,3,1,3,1,0,0,0,0,0,1,3430000
2,2610,3,1,2,1,0,1,0,0,0,1,3430000
2,1950,3,2,2,1,0,1,0,0,0,1,3430000
2,4040,2,1,1,1,0,0,0,0,0,0,3423000
0,4785,3,1,2,1,1,1,0,1,1,0,3395000
2,3450,3,1,1,1,0,1,0,0,2,0,3395000
0,3640,2,1,1,1,0,0,0,0,0,0,3395000
2,3500,4,1,2,1,0,0,0,1,2,0,3360000
1,4960,4,1,3,0,0,0,0,0,0,0,3360000
2,4120,2,1,2,1,0,0,0,0,0,0,3360000
2,4750,2,1,1,1,0,0,0,0,0,0,3360000
2,3720,2,1,1,0,0,0,0,1,0,0,3360000
2,3750,3,1,1,1,0,0,0,0,0,0,3360000
1,3100,3,1,2,0,0,1,0,0,0,0,3360000
0,3185,2,1,1,1,0,1,0,0,2,0,3360000
0,2700,3,1,1,0,0,0,0,0,0,0,3353000
0,2145,3,1,2,1,0,1,0,0,0,1,3332000
2,4040,2,1,1,1,0,0,0,0,1,0,3325000
2,4775,4,1,2,1,0,0,0,0,0,0,3325000
2,2500,2,1,1,0,0,0,0,1,0,0,3290000
2,3180,4,1,2,1,0,1,0,1,0,0,3290000
0,6060,3,1,1,1,1,1,0,0,0,0,3290000
1,3480,4,1,2,0,0,0,0,0,1,0,3290000
1,3792,4,1,2,1,0,0,0,0,0,0,3290000
2,4040,2,1,1,1,0,0,0,0,0,0,3290000
0,2145,3,1,2,1,0,1,0,0,0,1,3290000
2,5880,3,1,1,1,0,0,0,0,1,0,3290000
1,4500,2,1,1,0,0,0,0,0,0,0,3255000
2,3930,2,1,1,0,0,0,0,0,0,0,3255000
2,3640,4,1,2,1,0,1,0,0,0,0,3234000
2,4370,3,1,2,1,0,0,0,0,0,0,3220000
2,2684,2,1,1,1,0,0,0,1,1,0,3220000
2,4320,3,1,1,0,0,0,0,0,1,0,3220000
0,3120,3,1,2,0,0,0,0,0,0,0,3220000
0,3450,1,1,1,1,0,0,0,0,0,0,3150000
2,3986,2,2,1,0,1,1,0,0,1,0,3150000
1,3500,2,1,1,0,0,1,0,0,0,0,3150000
1,4095,2,1,1,1,0,0,0,0,2,0,3150000
2,1650,3,1,2,0,0,1,0,0,0,0,3150000
1,3450,3,1,2,1,0,1,0,0,0,0,3150000
1,6750,2,1,1,1,0,0,0,0,0,0,3150000
1,9000,3,1,2,1,0,0,0,0,2,0,3150000
2,3069,2,1,1,1,0,0,0,0,1,0,3150000
2,4500,3,1,2,1,0,0,0,1,0,0,3143000
2,5495,3,1,1,1,0,1,0,0,0,0,3129000
1,2398,3,1,1,1,0,0,0,0,0,1,3118850
2,3000,3,1,1,0,0,0,0,1,0,0,3115000
2,3850,3,1,2,1,0,0,0,0,0,0,3115000
2,3500,2,1,1,1,0,0,0,0,0,0,3115000
2,8100,2,1,1,1,0,0,0,0,1,0,3087000
2,4960,2,1,1,1,0,1,0,1,0,0,3080000
1,2160,3,1,2,0,0,1,0,0,0,0,3080000
2,3090,2,1,1,1,1,1,0,0,0,0,3080000
1,4500,2,1,2,1,0,0,1,0,1,0,3080000
2,3800,2,1,1,1,0,0,0,0,0,0,3045000
1,3090,3,1,2,0,0,0,0,0,0,0,3010000
1,3240,3,1,2,1,0,0,0,0,2,0,3010000
1,2835,2,1,1,1,0,0,0,0,0,0,3010000
0,4600,2,1,1,1,0,0,0,0,0,0,3010000
2,5076,3,1,1,0,0,0,0,0,0,0,3010000
2,3750,3,1,2,1,0,0,0,0,0,0,3010000
1,3630,4,1,2,1,0,0,0,0,3,0,3010000
2,8050,2,1,1,1,0,0,0,0,0,0,3003000
2,4352,4,1,2,0,0,0,0,0,1,0,2975000
1,3000,2,1,2,1,0,0,0,0,0,0,2961000
2,5850,3,1,2,1,0,1,0,0,1,0,2940000
2,4960,2,1,1,1,0,0,0,0,0,0,2940000
